N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

begin header for RandD1_TiN_2july2014_Aposn_like18mar2013Aposn [ Wed, 7/2/2014 07:03:29.8933 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

begin header for RandD1_TiN_2july2014_Aposn_like18mar2013Aposn [ Wed, 7/2/2014 07:42:23.2996 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.415
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_2july2014_Aposn_like18mar2013Aposn

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Wed, 7/2/2014 07:42:24.0183 AM ]
sweeping platen back and forth 940.0 times at 2.00051282051 RPM
starting sweep 55 of 940 [ Wed, 7/2/2014 07:43:03.2996 AM ]
starting sweep 56 of 940 [ Wed, 7/2/2014 07:43:04.0183 AM ]
starting sweep 57 of 940 [ Wed, 7/2/2014 07:43:04.7371 AM ]
starting sweep 58 of 940 [ Wed, 7/2/2014 07:43:05.4402 AM ]
starting sweep 59 of 940 [ Wed, 7/2/2014 07:43:06.1589 AM ]
starting sweep 60 of 940 [ Wed, 7/2/2014 07:43:06.8777 AM ]
starting sweep 61 of 940 [ Wed, 7/2/2014 07:43:07.5808 AM ]
starting sweep 62 of 940 [ Wed, 7/2/2014 07:43:08.2996 AM ]
starting sweep 63 of 940 [ Wed, 7/2/2014 07:43:09.0183 AM ]
starting sweep 64 of 940 [ Wed, 7/2/2014 07:43:09.7371 AM ]
starting sweep 65 of 940 [ Wed, 7/2/2014 07:43:10.4402 AM ]
starting sweep 66 of 940 [ Wed, 7/2/2014 07:43:11.1589 AM ]
starting sweep 67 of 940 [ Wed, 7/2/2014 07:43:11.8621 AM ]
starting sweep 68 of 940 [ Wed, 7/2/2014 07:43:12.5808 AM ]
starting sweep 69 of 940 [ Wed, 7/2/2014 07:43:13.2996 AM ]
starting sweep 70 of 940 [ Wed, 7/2/2014 07:43:14.0027 AM ]
starting sweep 71 of 940 [ Wed, 7/2/2014 07:43:14.7214 AM ]
starting sweep 72 of 940 [ Wed, 7/2/2014 07:43:15.4402 AM ]
starting sweep 73 of 940 [ Wed, 7/2/2014 07:43:16.1589 AM ]
starting sweep 74 of 940 [ Wed, 7/2/2014 07:43:16.8777 AM ]
starting sweep 75 of 940 [ Wed, 7/2/2014 07:43:17.5808 AM ]
starting sweep 76 of 940 [ Wed, 7/2/2014 07:43:18.2996 AM ]
starting sweep 77 of 940 [ Wed, 7/2/2014 07:43:19.0183 AM ]
starting sweep 78 of 940 [ Wed, 7/2/2014 07:43:19.7371 AM ]
starting sweep 79 of 940 [ Wed, 7/2/2014 07:43:20.4558 AM ]
starting sweep 80 of 940 [ Wed, 7/2/2014 07:43:21.1589 AM ]
starting sweep 81 of 940 [ Wed, 7/2/2014 07:43:21.8777 AM ]
starting sweep 82 of 940 [ Wed, 7/2/2014 07:43:22.5808 AM ]
starting sweep 83 of 940 [ Wed, 7/2/2014 07:43:23.2996 AM ]
starting sweep 84 of 940 [ Wed, 7/2/2014 07:43:24.0183 AM ]
starting sweep 85 of 940 [ Wed, 7/2/2014 07:43:24.7371 AM ]
starting sweep 86 of 940 [ Wed, 7/2/2014 07:43:25.4558 AM ]
starting sweep 87 of 940 [ Wed, 7/2/2014 07:43:26.1589 AM ]
starting sweep 88 of 940 [ Wed, 7/2/2014 07:43:26.8933 AM ]
starting sweep 89 of 940 [ Wed, 7/2/2014 07:43:27.6121 AM ]
