N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

begin header for RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate [ Tue, 9/30/2014 09:23:58.2826 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

begin header for RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate [ Tue, 9/30/2014 09:57:12.7982 AM ]
N = 1
axis 3 accel_decel = 500000
axis 3 conversion_factor = 4171.87
axis 3 name = platen
axis 3 steps_in_rev = 250000
axis 4 accel_decel = 500000
axis 4 conversion_factor = 417.448
axis 4 name = mandrel
axis 4 steps_in_rev = 25000
cathode 2 deposition_rate = 0.28
cathode 2 name = cathode 2
chamber_name = R&D1
current_N = 0
current_bilayer = 0
current_sweep_iterations = 0
mandrel_axis = 4
platen_axis = 3
run_name = RandD1_TiN_30sep2014_AandBposn_like18mar2013_duplicate

starting layer 1
starting bilayer 1
ofsetting platen back -4.0 degrees
opening shutter 2 [ Tue, 9/30/2014 09:57:13.4076 AM ]
sweeping platen back and forth 1393.0 times at 2.00020512821 RPM
starting sweep 53 of 1393 [ Tue, 9/30/2014 09:57:51.4076 AM ]
starting sweep 54 of 1393 [ Tue, 9/30/2014 09:57:52.1263 AM ]
starting sweep 55 of 1393 [ Tue, 9/30/2014 09:57:52.8451 AM ]
starting sweep 56 of 1393 [ Tue, 9/30/2014 09:57:53.5638 AM ]
starting sweep 57 of 1393 [ Tue, 9/30/2014 09:57:54.2826 AM ]
starting sweep 58 of 1393 [ Tue, 9/30/2014 09:57:54.9857 AM ]
starting sweep 59 of 1393 [ Tue, 9/30/2014 09:57:55.7044 AM ]
starting sweep 60 of 1393 [ Tue, 9/30/2014 09:57:56.4232 AM ]
starting sweep 61 of 1393 [ Tue, 9/30/2014 09:57:57.1419 AM ]
starting sweep 62 of 1393 [ Tue, 9/30/2014 09:57:57.8607 AM ]
starting sweep 63 of 1393 [ Tue, 9/30/2014 09:57:58.5638 AM ]
starting sweep 64 of 1393 [ Tue, 9/30/2014 09:57:59.2826 AM ]
starting sweep 65 of 1393 [ Tue, 9/30/2014 09:58:00.0013 AM ]
starting sweep 66 of 1393 [ Tue, 9/30/2014 09:58:00.7044 AM ]
starting sweep 67 of 1393 [ Tue, 9/30/2014 09:58:01.4232 AM ]
starting sweep 68 of 1393 [ Tue, 9/30/2014 09:58:02.1419 AM ]
starting sweep 69 of 1393 [ Tue, 9/30/2014 09:58:02.8607 AM ]
starting sweep 70 of 1393 [ Tue, 9/30/2014 09:58:03.5794 AM ]
starting sweep 71 of 1393 [ Tue, 9/30/2014 09:58:04.2826 AM ]
starting sweep 72 of 1393 [ Tue, 9/30/2014 09:58:05.0013 AM ]
starting sweep 73 of 1393 [ Tue, 9/30/2014 09:58:05.7044 AM ]
starting sweep 74 of 1393 [ Tue, 9/30/2014 09:58:06.4232 AM ]
starting sweep 75 of 1393 [ Tue, 9/30/2014 09:58:07.1419 AM ]
starting sweep 76 of 1393 [ Tue, 9/30/2014 09:58:07.8451 AM ]
starting sweep 77 of 1393 [ Tue, 9/30/2014 09:58:08.5638 AM ]
starting sweep 78 of 1393 [ Tue, 9/30/2014 09:58:09.2826 AM ]
starting sweep 79 of 1393 [ Tue, 9/30/2014 09:58:10.0013 AM ]
starting sweep 80 of 1393 [ Tue, 9/30/2014 09:58:10.7201 AM ]
starting sweep 81 of 1393 [ Tue, 9/30/2014 09:58:11.4232 AM ]
starting sweep 82 of 1393 [ Tue, 9/30/2014 09:58:12.1419 AM ]
starting sweep 83 of 1393 [ Tue, 9/30/2014 09:58:12.8607 AM ]
starting sweep 84 of 1393 [ Tue, 9/30/2014 09:58:13.5638 AM ]
starting sweep 85 of 1393 [ Tue, 9/30/2014 09:58:14.2826 AM ]
starting sweep 86 of 1393 [ Tue, 9/30/2014 09:58:15.0013 AM ]
starting sweep 87 of 1393 [ Tue, 9/30/2014 09:58:15.7201 AM ]
starting sweep 88 of 1393 [ Tue, 9/30/2014 09:58:16.4388 AM ]
starting sweep 89 of 1393 [ Tue, 9/30/2014 09:58:17.1576 AM ]
starting sweep 90 of 1393 [ Tue, 9/30/2014 09:58:17.8607 AM ]
starting sweep 91 of 1393 [ Tue, 9/30/2014 09:58:18.5794 AM ]
starting sweep 92 of 1393 [ Tue, 9/30/2014 09:58:19.2982 AM ]
starting sweep 93 of 1393 [ Tue, 9/30/2014 09:58:20.0013 AM ]
starting sweep 94 of 1393 [ Tue, 9/30/2014 09:58:20.7201 AM ]
starting sweep 95 of 1393 [ Tue, 9/30/2014 09:58:21.4388 AM ]
starting sweep 96 of 1393 [ Tue, 9/30/2014 09:58:22.1419 AM ]
starting sweep 97 of 1393 [ Tue, 9/30/2014 09:58:22.8607 AM ]
starting sweep 98 of 1393 [ Tue, 9/30/2014 09:58:23.5794 AM ]
starting sweep 99 of 1393 [ Tue, 9/30/2014 09:58:24.2982 AM ]
starting sweep 100 of 1393 [ Tue, 9/30/2014 09:58:25.0013 AM ]
starting sweep 101 of 1393 [ Tue, 9/30/2014 09:58:25.7201 AM ]
starting sweep 102 of 1393 [ Tue, 9/30/2014 09:58:26.4388 AM ]
starting sweep 103 of 1393 [ Tue, 9/30/2014 09:58:27.1576 AM ]
starting sweep 104 of 1393 [ Tue, 9/30/2014 09:58:27.8607 AM ]
starting sweep 105 of 1393 [ Tue, 9/30/2014 09:58:28.5794 AM ]
starting sweep 106 of 1393 [ Tue, 9/30/2014 09:58:29.2982 AM ]
starting sweep 107 of 1393 [ Tue, 9/30/2014 09:58:30.0169 AM ]
starting sweep 108 of 1393 [ Tue, 9/30/2014 09:58:30.7357 AM ]
starting sweep 109 of 1393 [ Tue, 9/30/2014 09:58:31.4388 AM ]
starting sweep 110 of 1393 [ Tue, 9/30/2014 09:58:32.1732 AM ]
starting sweep 111 of 1393 [ Tue, 9/30/2014 09:58:32.8919 AM ]
starting sweep 112 of 1393 [ Tue, 9/30/2014 09:58:33.6107 AM ]
starting sweep 113 of 1393 [ Tue, 9/30/2014 09:58:34.3138 AM ]
starting sweep 114 of 1393 [ Tue, 9/30/2014 09:58:35.0326 AM ]
starting sweep 115 of 1393 [ Tue, 9/30/2014 09:58:35.7513 AM ]
starting sweep 116 of 1393 [ Tue, 9/30/2014 09:58:36.4544 AM ]
starting sweep 117 of 1393 [ Tue, 9/30/2014 09:58:37.1732 AM ]
starting sweep 118 of 1393 [ Tue, 9/30/2014 09:58:37.8763 AM ]
starting sweep 119 of 1393 [ Tue, 9/30/2014 09:58:38.5951 AM ]
starting sweep 120 of 1393 [ Tue, 9/30/2014 09:58:39.3138 AM ]
starting sweep 121 of 1393 [ Tue, 9/30/2014 09:58:40.0326 AM ]
starting sweep 122 of 1393 [ Tue, 9/30/2014 09:58:40.7513 AM ]
starting sweep 123 of 1393 [ Tue, 9/30/2014 09:58:41.4701 AM ]
starting sweep 124 of 1393 [ Tue, 9/30/2014 09:58:42.1888 AM ]
starting sweep 125 of 1393 [ Tue, 9/30/2014 09:58:42.9076 AM ]
starting sweep 126 of 1393 [ Tue, 9/30/2014 09:58:43.6107 AM ]
starting sweep 127 of 1393 [ Tue, 9/30/2014 09:58:44.3294 AM ]
starting sweep 128 of 1393 [ Tue, 9/30/2014 09:58:45.0482 AM ]
starting sweep 129 of 1393 [ Tue, 9/30/2014 09:58:45.7669 AM ]
starting sweep 130 of 1393 [ Tue, 9/30/2014 09:58:46.4857 AM ]
starting sweep 131 of 1393 [ Tue, 9/30/2014 09:58:47.2044 AM ]
starting sweep 132 of 1393 [ Tue, 9/30/2014 09:58:47.9076 AM ]
starting sweep 133 of 1393 [ Tue, 9/30/2014 09:58:48.6263 AM ]
starting sweep 134 of 1393 [ Tue, 9/30/2014 09:58:49.3451 AM ]
starting sweep 135 of 1393 [ Tue, 9/30/2014 09:58:50.0638 AM ]
starting sweep 136 of 1393 [ Tue, 9/30/2014 09:58:50.7826 AM ]
starting sweep 137 of 1393 [ Tue, 9/30/2014 09:58:51.4857 AM ]
starting sweep 138 of 1393 [ Tue, 9/30/2014 09:58:52.2044 AM ]
starting sweep 139 of 1393 [ Tue, 9/30/2014 09:58:52.9076 AM ]
starting sweep 140 of 1393 [ Tue, 9/30/2014 09:58:53.6263 AM ]
starting sweep 141 of 1393 [ Tue, 9/30/2014 09:58:54.3451 AM ]
starting sweep 142 of 1393 [ Tue, 9/30/2014 09:58:55.0638 AM ]
starting sweep 143 of 1393 [ Tue, 9/30/2014 09:58:55.7669 AM ]
starting sweep 144 of 1393 [ Tue, 9/30/2014 09:58:56.4857 AM ]
starting sweep 145 of 1393 [ Tue, 9/30/2014 09:58:57.2044 AM ]
starting sweep 146 of 1393 [ Tue, 9/30/2014 09:58:57.9232 AM ]
starting sweep 147 of 1393 [ Tue, 9/30/2014 09:58:58.6419 AM ]
starting sweep 148 of 1393 [ Tue, 9/30/2014 09:58:59.3607 AM ]
starting sweep 149 of 1393 [ Tue, 9/30/2014 09:59:00.0638 AM ]
starting sweep 150 of 1393 [ Tue, 9/30/2014 09:59:00.7669 AM ]
starting sweep 151 of 1393 [ Tue, 9/30/2014 09:59:01.5013 AM ]
starting sweep 152 of 1393 [ Tue, 9/30/2014 09:59:02.2044 AM ]
starting sweep 153 of 1393 [ Tue, 9/30/2014 09:59:02.9076 AM ]
starting sweep 154 of 1393 [ Tue, 9/30/2014 09:59:03.6419 AM ]
starting sweep 155 of 1393 [ Tue, 9/30/2014 09:59:04.3763 AM ]
starting sweep 156 of 1393 [ Tue, 9/30/2014 09:59:05.0951 AM ]
starting sweep 157 of 1393 [ Tue, 9/30/2014 09:59:05.8138 AM ]
starting sweep 158 of 1393 [ Tue, 9/30/2014 09:59:06.5169 AM ]
starting sweep 159 of 1393 [ Tue, 9/30/2014 09:59:07.2357 AM ]
starting sweep 160 of 1393 [ Tue, 9/30/2014 09:59:07.9544 AM ]
starting sweep 161 of 1393 [ Tue, 9/30/2014 09:59:08.6576 AM ]
starting sweep 162 of 1393 [ Tue, 9/30/2014 09:59:09.3607 AM ]
starting sweep 163 of 1393 [ Tue, 9/30/2014 09:59:10.0794 AM ]
starting sweep 164 of 1393 [ Tue, 9/30/2014 09:59:10.7982 AM ]
starting sweep 165 of 1393 [ Tue, 9/30/2014 09:59:11.5169 AM ]
starting sweep 166 of 1393 [ Tue, 9/30/2014 09:59:12.2201 AM ]
starting sweep 167 of 1393 [ Tue, 9/30/2014 09:59:12.9388 AM ]
starting sweep 168 of 1393 [ Tue, 9/30/2014 09:59:13.6576 AM ]
starting sweep 169 of 1393 [ Tue, 9/30/2014 09:59:14.3763 AM ]
